"Category","Average Minimum Surface Air Temperature","Average Mean Surface Air Temperature","Average Maximum Surface Air Temperature","Precipitation"
"Jan",-2.12,5.01,12.17,19.64
"Feb",-0.33,6.99,14.33,30.82
"Mar",3.73,11.31,18.92,34.48
"Apr",8.12,15.35,22.62,49.99
"May",11.78,18.19,24.64,109.61
"Jun",14.77,20.01,25.3,185.46
"Jul",16.03,20.23,24.49,326.87
"Aug",16.01,20.09,24.23,265.98
"Sep",14.02,18.73,23.49,193.77
"Oct",9.1,15.21,21.36,44.92
"Nov",3.58,10.85,18.15,9.2
"Dec",-0.5,6.9,14.33,12.4
